altitude_km,velocity_km_s,efficiency,altitude_scaled,velocity_scaled
500.0,7.6,71.09169696172194,-1.2333793045466435,-0.7254762369521177
700.0,7.8,90.0,-0.005729034593116135,-0.36273811847605886
900.0,7.9,76.81280184142555,1.2219212353604112,-0.18136905923802862
750.0,7.7,86.19349672143841,0.3011835328952657,-0.5441071777140875
750.0,7.7,86.19349672143841,0.3011835328952657,-0.5441071777140875
450.0,8.0,67.61726618023997,-1.5402918720350254,0.0
1100.0,7.7,60.26643107814224,2.449571505313939,-0.5441071777140875
756.0,8.0,78.32632131275372,0.3380130409938715,0.0
756.0,8.0,78.32632131275372,0.3380130409938715,0.0
765.0,8.0,78.080614255492,0.39325730314178026,0.0
689.0,8.0,79.01785859622373,-0.07324979944056015,0.0
698.0,8.0,79.04503202705153,-0.01800553729265141,0.0
500.0,10.0,50.0,-1.2333793045466435,3.6273811847605852
500.0,7.8,79.04596148294763,-1.2333793045466435,-0.36273811847605886
700.0,7.8,90.0,-0.005729034593116135,-0.36273811847605886
